quote_accept_time,id,create_time,is_delete,uid,quote_coin,base_coin,side,price,quote_amount,base_amount,quote_precision,base_precision,settle_time,client_id,token,clearing_stage
1648544482812,2521,2022-03-29 09:01:22.791001+00:00,False,138029815,BTC,HUSD,sell,47521.624788,0.00041884,19.9,8,8,1648544482812,24,,0
1648544298685,2515,2022-03-29 08:58:18.670698+00:00,False,138029815,BTC,HUSD,buy,47582.385703,0.0004204,20.0,8,8,1648544298685,24,,0
1648543943756,2511,2022-03-29 08:52:23.740653+00:00,False,138029815,USDT,HUSD,sell,1.0004,19.99200319,20.0,8,8,1648543943756,24,,0
1648543874454,2508,2022-03-29 08:51:14.438134+00:00,False,138029815,USDT,HUSD,buy,1.0005,19.99000499,20.0,8,8,1648543874454,24,,0
1648543843565,2505,2022-03-29 08:50:43.552215+00:00,False,138029815,USDT,HUSD,sell,1.0004,20.0,20.008,8,8,1648543843565,24,,0
1648543781644,2502,2022-03-29 08:49:41.628972+00:00,False,138029815,USDT,HUSD,buy,1.0005,20.0,20.01,8,8,1648543781644,24,,0
1648543708295,2499,2022-03-29 08:48:28.280765+00:00,False,138029815,ETH,HUSD,sell,3399.423621,0.01293246,43.96289814,8,8,1648543708295,24,,0
1648543653044,2496,2022-03-29 08:47:33.028000+00:00,False,138029815,ETH,HUSD,buy,3416.934626,0.01,34.16933294,8,8,1648543653044,24,,0
1648543371186,2493,2022-03-29 08:42:51.168643+00:00,False,138029815,BTC,HUSD,sell,47537.297221,0.001,47.52777883,8,8,1648543371186,24,,0
1648543142588,2490,2022-03-29 08:39:02.573965+00:00,False,138029815,BTC,HUSD,buy,47553.976302,0.001,47.54444887,8,8,1648543142588,24,,0
1648542724962,2479,2022-03-29 08:32:04.948785+00:00,False,138029815,ETH,HUSD,buy,3407.716331,0.00293451,10.0,8,8,1648542724962,24,,0
1648542697465,2476,2022-03-29 08:31:37.447774+00:00,False,138029815,ETH,HUSD,sell,3398.039479,0.01,33.98038562,8,8,1648542697465,24,,0
1648542479883,2472,2022-03-29 08:27:59.867817+00:00,False,138029815,ETH,HUSD,buy,3409.457899,0.01,34.09456569,8,8,1648542479883,24,,0
1647331632008,63,2022-03-15 08:07:11.990881+00:00,False,138029815,ETH,USDT,sell,2522.34035,0.01,25.2234035,8,8,1647331632008,24,,0
1647331625072,60,2022-03-15 08:07:05.058773+00:00,False,138029815,ETH,USDT,buy,2527.135326,0.01,25.27135326,8,8,1647331625072,24,,0
1647331609541,57,2022-03-15 08:06:49.527290+00:00,False,138029815,ETH,USDT,sell,2518.825866,0.01,25.18825866,8,8,1647331609541,24,,0
1647331601070,54,2022-03-15 08:06:41.053958+00:00,False,138029815,ETH,USDT,buy,2526.535206,0.01,25.26535206,8,8,1647331601070,24,,0
1647326806002,49,2022-03-15 06:46:45.988660+00:00,False,138029815,ETH,USDT,sell,2541.368787,0.1,254.13687871,8,8,1647326806002,24,,0
1647326794659,46,2022-03-15 06:46:34.644916+00:00,False,138029815,ETH,USDT,buy,2550.249948,0.1,255.0249948,8,8,1647326794659,24,,0
1647326702568,43,2022-03-15 06:45:02.554297+00:00,False,138029815,BTC,USDT,buy,38812.940905,0.09,3492.46618819,8,8,1647326702568,24,,0
1647255529547,39,2022-03-14 10:58:49.532144+00:00,False,138029815,ETH,USDT,sell,2591.264515,0.10958,284.5208438,8,8,1647255529547,24,,0
1647255276839,38,2022-03-14 10:54:36.824053+00:00,False,138029815,ETH,USDT,buy,2593.765533,0.11,285.31420868,8,8,1647255276839,24,,0
